Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
1,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,20664,31291
2,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,71412,87471
3,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,194645,238091
4,Round 1,"UNIVERSITY OF KALYANI, KALYANI",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,4703,6337
5,Round 1,"UNIVERSITY OF KALYANI, KALYANI",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,8457,14202
6,Round 1,"UNIVERSITY OF KALYANI, KALYANI",Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,9864,10235
7,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,1216925,1216925
8,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,20053,92512
9,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,395977,956225
10,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,19850,96244
11,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,10792,33433
12,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,28188,154071
13,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,22540,27263
14,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,76922,81406
15,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,18972,27995
16,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,17778,24079
17,Round 1,Jadavpur University,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,1952,3061
18,Round 1,Jadavpur University,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,336,671
19,Round 1,Jadavpur University,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),18778,39586
20,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,17749,18422
21,Round 1,"Jis College of Engineering, Kalyani, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,899120,1068475
22,Round 1,"Jis College of Engineering, Kalyani, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,10804,85769
23,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,66100,66100
24,Round 1,"Sister Nivedita University, New Town",VIRTUAL REALITY (AR/VR) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,36039,38778
25,Round 1,University Of Calcutta,Instrumentation Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,3279,3501
26,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,9270,98474
27,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,775801,1401134
28,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,4295,11759
29,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,5265,10316
30,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,15983,29410
31,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,121689,286945
32,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,47206,47206
33,Round 1,"Elitte College of Engineering,Mahispota, Sodepur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,50820,50820
34,Round 1,"Elitte College of Engineering,Mahispota, Sodepur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,995113,995113
35,Round 1,TECHNO INSTITUTE OF ENGINEERING AND MANAGEMENT,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,15109,95704
36,Round 1,TECHNO INSTITUTE OF ENGINEERING AND MANAGEMENT,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,316691,864138
37,Round 1,THE NEOTIA UNIVERSITY,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,10094,88514
38,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,378,5889
39,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,12219,12219
40,Round 1,Jadavpur University,Metallurgical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,2192,2222
41,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,15342,20078
42,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,7496,11150
43,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,19459,19658
44,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,2058,16244
45,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,18164,29457
46,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,37508,49801
47,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),79989,79989
48,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,21374,26140
49,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,20106,25198
50,Round 1,"Hemnalini Memorial College of Engineering, Haringhata",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,47524,98656
51,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,268292,1150193
52,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,33403,78877
53,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,78376,95792
54,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,80657,80657
55,Round 1,"Hooghly Engineering & Technology College, Hooghly",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,29688,75599
56,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,592546,1082758
57,Round 1,Jadavpur University,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B (PwD),41739,41739
58,Round 1,"Hooghly Engineering & Technology College, Hooghly",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,719227,719227
59,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,306609,737558
60,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,27238,97316
61,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,72401,72401
62,Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,50014,98015
63,Round 1,Jadavpur University,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A (PwD),63435,63435
64,Round 1,"Bengal College of Engineering & Technology, Durgapur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,40728,96688
65,Round 1,"Bengal College of Engineering & Technology, Durgapur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,164963,573452
66,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,27883,86578
67,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,324851,1084029
68,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,38055,94817
69,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,9373,63664
70,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,92141,92141
71,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,169563,764435
72,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,18786,30551
73,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,18753,19568
74,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,18247,29025
75,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,68086,94014
76,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,21531,25844
77,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,6743,18025
78,Round 1,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,59697,59697
79,Round 1,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,639277,639277
80,Round 1,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,Open,1058,4132
81,Round 1,GANDHARI COLLEGE (SCHOOL OF PHARMACY),B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,All India,Open,19483,100048
82,Round 1,SKM INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,All India,Open,2679,98171
83,Round 1,SKM INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,ST,67750,67750
84,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,32354,476296
85,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,25131,72406
86,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,83499,83499
87,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,21396,28839
88,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,51260,53748
89,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,22691,40033
90,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,59332,183564
91,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,22862,31788
92,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,5365,19940
93,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,24075,24150
94,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Food Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,268224,420411
95,Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Applied Electronics And Instrumentation Engineering   (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,17255,19166
96,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Applied Electronics And Instrumentation Engineering   (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,14075,16284
97,Round 1,SKM INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,1290212,1290212
98,Round 1,"BHARAT TECHNOLOGY, ULUBERIA, HOWRAH",B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,516252,1216913
99,Round 1,"GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES, ASANSOL, BURDWAN",B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,401312,1007597
100,Round 1,PANDAVESWAR SCHOOL OF PHARMACY,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,203480,1232800
101,Round 1,IQ CITY INSTITUTE OF PHARMACEUTICAL SCIENCES,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,598134,1392467
102,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,6321,12653
103,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,50171,50171
104,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,26667,68380
105,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,1709,307165
106,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,234,36952
107,Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,20210,97362
108,Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,211299,771669
109,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,42688,84156
110,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,7531,40088
111,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,76070,85105
112,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,40975,42331
113,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,151294,320513
114,Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,50686,75334
115,Round 1,Swami Vivekananda University,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,513254,1218024
116,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,28394,75696
117,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,27792,76667
118,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,8770,27279
119,Round 1,"Jis College of Engineering, Kalyani, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,319961,1002712
120,Round 1,"Jis College of Engineering, Kalyani, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,9733,86376
121,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,576551,1213978
122,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,79964,79964
123,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,14756,21898
